Hibbett Sports Inc,HIBB,Nasdaq,Small Blend,Retail,Specialty retail,,,,,,
Honda Motor Co Ltd,HMC,New York Stock,Large Value,Auto & Auto Parts,Automobiles,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Hostelworld Group,HSW,London Stock Exchange,Small Value,Leisure,Leisure time,,,,,,
PLC,,,,,,,,,,,
Hyatt Hotels Corp,H,New York Stock,Mid Blend,Leisure,Hotel/motel,,,,,,
,,"Exchange, Inc.",,,,,,,,,
,,,,,3,,,,,,
2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,INDUSTRY,,,,,,
Imax Corp,IMAX,New York Stock,Small Growth,Media,Entertainment,,,,,,
,,"Exchange, Inc.",,,,,,,,,
InterContinental,IHG,London Stock Exchange,Mid Blend,Leisure,Hotel/motel,,,,,,
Hotels Group PLC,,,,,,,,,,,
Jubilant Foodworks,533155,BSE LTD,Mid Growth,Leisure,Restaurants,,,,,,
Ltd,,,,,,,,,,,
Lands’ End Inc,LE,Nasdaq,Small Blend,Retail,Diversified retail,,,,,,
Las Vegas Sands Corp,LVS,New York Stock,Large Value,Leisure,Casinos and,,,,,,
,,"Exchange, Inc.",,,gambling,,,,,,
LCI Industries Inc,LCII,New York Stock,Small Growth,Leisure,Recreational,,,,,,
,,"Exchange, Inc.",,,vehicles and boats,,,,,,
Localiza Rent A Car SA,RENT3,"B3 S.A. - Brasil, Bolsa,",Large Growth,Consumer Services,Rental and leasing,,,,,,
,,Balcão,,,services: Consumer,,,,,,
Lojas Americanas SA,LAME4,"B3 S.A. - Brasil, Bolsa,",Large Growth,Retail,Diversified retail,,,,,,
,,Balcão,,,,,,,,,
Lojas Renner SA,LREN3,"B3 S.A. - Brasil, Bolsa,",Large Growth,Retail,Diversified retail,,,,,,
,,Balcão,,,,,,,,,
Lookers PLC,LOOK,London Stock Exchange,Small Value,Retail,Specialty retail,,,,,,
Lululemon Athletica,LULU,Nasdaq,Large Growth,Consumer Products,Textiles apparel,,,,,,
Inc,,,,,and shoes,,,,,,
Lyft Inc,LYFT,Nasdaq,Not Available,Consumer Services,Consumer services:,,,,,,
,,,,,Miscellaneous,,,,,,
Macy’s Inc,M,New York Stock,Small Value,Retail,Diversified retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Magazine Luiza SA,MGLU3,"B3 S.A. - Brasil, Bolsa,",Large Growth,Retail,Diversified retail,,,,,,
,,Balcão,,,,,,,,,
Mahindra & Mahindra,500520,BSE LTD,Large Blend,Auto & Auto Parts,Automobiles,,,,,,
Ltd,,,,,,,,,,,
Marriott International,MAR,Nasdaq,Large Value,Leisure,Hotel/motel,,,,,,
Inc,,,,,,,,,,,
Maruti Suzuki India,532500,BSE LTD,Large Blend,Auto & Auto Parts,Automobiles,,,,,,
Ltd,,,,,,,,,,,
Mattel Inc,MAT,Nasdaq,Small Blend,Consumer Products,Toys,,,,,,
McDonald’s Corp,MCD,New York Stock,Large Blend,Leisure,Restaurants,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Midea Group Co Ltd,333,Shenzhen Stock Exchange,Large Blend,Consumer Products,Household,,,,,,
,,,,,appliances,,,,,,
Movado Group Inc,MOV,New York Stock,Small Value,Consumer Products,Luxury items,,,,,,
,,"Exchange, Inc.",,,,,,,,,
New Oriental,EDU,New York Stock,Not Available,Consumer Services,Education services,,,,,,
Education &,,"Exchange, Inc.",,,,,,,,,
Technology Group Inc,,,,,,,,,,,
Next PLC,NXT,London Stock Exchange,Mid Blend,Retail,Diversified retail,,,,,,
4,,,,,,,,,,,
,,2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,INDUSTRY,,,,,,
Nike Inc,NKE,New York Stock,Large Growth,Consumer Products,Textiles apparel,,,,,,
,,"Exchange, Inc.",,,and shoes,,,,,,
Norwegian Cruise Line,NCLH,New York Stock,Mid Blend,Leisure,Leisure time,,,,,,
Holdings Ltd,,"Exchange, Inc.",,,,,,,,,
On The Beach Group,OTB,London Stock Exchange,Small Growth,Leisure,Leisure time,,,,,,
