Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
MKC,6.764,0.1375,2.0315,0.0126,0.2047,1.761639586,0.453036888,2.315748019
MCK,4.6659,0.004,26.752,0.011,0.1377,8.992287918,1.372320645,2.284848
TAP,0.5899,-0.0162,25.4389,0.0556,-0.011,1.18210553,1.501305537,2.251510911
MNST,10.0893,0.2657,2.5466,0,0.2764,0.165661583,0.309395387,2.249501181
FIZZ,7.5632,0.1423,2.1482,0.0587,0.335,0.398320038,0.403515575,2.186939094
PEP,14.5268,0.1027,3.7785,0.0293,0.51,5.818141363,0.430962383,2.111625051
PG,7.8791,0.1836,4.9261,0.0223,0.2774,1.594527203,0.378845085,2.075739723
RAD,0.9039,-0.0151,0.87,0,-0.4823,14.9528902,1,2.073147586
SFM,3.4593,0.0356,1.0424,0,0.34,2.986655042,0.58384896,2.073147586
SYY,29.2552,0.0041,1.9828,0.028,0.1155,18.53047825,12.79952007,2.069738258
HSY,17.7844,0.135,4.5639,0.0218,0.62,4.080156021,0.578814764,2.065052771
TR,2.7664,0.1269,1,0.0116,0.0853,0.295120435,4.195000705,2.045255114
THS,1.2433,-0.0451,1.8963,0,-0.0428,1.906248267,1,2.031368578
TSN,1.483,0.0426,1.3213,0.0288,0.1254,1.312084815,1.146278373,1.996351045
UL,8.9574,0.1145,2.8472,0.0304,0.4022,3.500159857,0.4339074,1.971101428
UNFI,0.9337,-0.0103,3.74,0,-0.192,1,1,1.957132083
WDFC,18.6551,0.123,2.35,0.0137,0.3326,1.662043136,0.451081195,1.956840058
PEP,14.5268,0.1027,3.7785,0.0293,0.51,5.818141363,0.430962383,1.941700854
PG,7.8791,0.1836,4.9261,0.0223,0.2774,1.594527203,0.378845085,1.911435299
RAD,0.9039,-0.0151,0.87,0,-0.4823,14.9528902,1,1.879029723
SFM,3.4593,0.0356,1.0424,0,0.34,2.986655042,0.58384896,1.84860482
SYY,29.2552,0.0041,1.9828,0.028,0.1155,18.53047825,12.79952007,1.834409677
HSY,17.7844,0.135,4.5639,0.0218,0.62,4.080156021,0.578814764,1.834409677
TR,2.7664,0.1269,1,0.0116,0.0853,0.295120435,4.195000705,1.808282936
THS,1.2433,-0.0451,1.8963,0,-0.0428,1.906248267,1,1.777808
TSN,1.483,0.0426,1.3213,0.0288,0.1254,1.312084815,1.146278373,1.745972824
UL,8.9574,0.1145,2.8472,0.0304,0.4022,3.500159857,0.4339074,1.734823315
UNFI,0.9337,-0.0103,3.74,0,-0.192,1,1,1.721526808
WDFC,18.6551,0.123,2.35,0.0137,0.3326,1.662043136,0.451081195,1.718824208
PTR,0.2932,-0.0057,4.3759,0.0892,0.0032,1.252242908,16.44541651,1.712307916
PSX,1.107,-0.0135,1.582,0.0712,-0.0352,1.507265267,6.78077196,1.705953576
SUN,3.3651,0.0129,-3,0.1338,0.2548,7.286407767,0.460198391,1.68868198
TRCH,1.8089,0,1,0,-0.8236,1.139278591,1,1.659539447
AFL,0.9017,0.1349,0.93,0.0307,0.1016,4.33946295,2.67597447,1.652183045
ALL,1.1558,0.1028,2.015,0.0236,0.175,3.493663381,1.403220819,1.636880439
AXP,3.9922,0.1189,1.7655,0.0168,0.1845,7.954895072,1.662106945,1.625400271
APAM,29.771,0.2041,1.38,0.0559,1.5566,6.865359326,1.319982095,1.608780839
OZK,0.6784,0.3511,1,0.051,0.0658,5.416796938,1,1.598246183
BCS,0.2549,0.1105,0.6539,0.111,0.0296,19.27870989,9.93018051,1.590723011
BX,6.8163,0.2562,0.62,0.0339,0.0673,2.887894069,1.096733335,1.566500373
BPFH,0.6425,0.1342,2.66,0.0379,0.0479,10.09894632,1.294718953,1.565959813
JRJC,1.0357,-0.2457,1,0,-0.6011,3.040893025,1,1.545871904
C,0.5162,0.2074,1.6438,0.0476,0.0618,10.64811452,2.098415412,1.517354841
CS,0.5098,0.1879,0.6779,0.0134,0.0928,16.8033738,1.752508599,1.498467216
DB,0.2651,-0.1096,1.55,0.0192,-0.035,22.00668639,1,1.498467216
DLR,2.8087,0.2116,3.0908,0.0289,0.0511,0.950241652,-0.150051443,1.485586315
DFS,2.3366,0.1776,0.4301,0.0277,0.0993,10.80047703,5.35678881,1.481865313
EXR,6.2278,0.3199,20.8043,0.0315,0.1664,2.434819358,-0.023564923,1.476834326
FICO,51.2942,0.1892,2.71,0,0.8994,5.325145783,0.337837965,1.471486907
GBCI,1.5101,0.3271,2.1,0.0343,0.1109,6.671884976,0.731072794,1.468140299
GEC,0.9124,-0.2024,1,0,-0.1908,2.150952397,1,1.450539783
