Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,,index
SEIC,4.793,0.2847,1.7234,0.0123,0.2819,0.201902114,0.658218458,0.995602384,1.449787786
CPB,5.7718,0.1873,1.0957,0.0288,0.3217,3.827155677,1.292915274,1.283798287,1.449530843
FB,6.8796,0.313,0.966,0,0.2361,0.264778582,0.582649263,0.970608198,1.448901139
K,8.0174,0.0809,2.1601,0.0342,0.3336,5.091637631,0.565909983,1.718824208,1.444631207
JNJ,6.1914,0.2101,2.7534,0.028,0.2454,1,1,1.442184,1.444112927
TAP,0.5899,-0.0162,25.4389,0.0556,-0.011,1.18210553,1.501305537,6.429133107,1.444015601
VZ,3.8386,0.1476,3.931,0.0438,0.3225,3.65481602,0.580569116,1.705953576,1.443884912
MSEX,3.4461,0.2659,10.95,0.0153,0.1217,1.834551075,-0.098005909,3.107411377,1.44362601
TM,0.9337,0.0577,8.1324,0.031,0.0762,1.699465384,9.448951457,3.324495406,1.441372365
BIDU,1.9059,0.034,2.3063,0,-0.0109,0.813602903,15.58509189,2.644543258,1.439860766
CEA,0.778,-0.0836,1.5502,0.0168,-0.129,3.832339766,21.68884787,3.306376925,1.439811516
PFE,3.2649,0.2881,2.4784,0.0402,0.2281,1.762154937,0.701143876,1.17765766,1.439057185
YORW,4.2254,0.3035,7.71,0.0159,0.12,1.714466126,0.041580698,2.405046974,1.438898389
PYPL,13.5987,0.1344,2.1559,0,0.1527,2.578344671,0.776804033,1.956840058,1.438399902
H,1.5593,0.1604,15.5121,0.0154,0.0779,1.457593123,0.897888321,4.115094048,1.436401936
ILMN,10.4665,0.2068,2.013,0,0.1558,0.439184747,0.548029458,1.485586315,1.434263588
TJX,14.5748,0.0211,3.1389,0.0169,0.1428,4.70067775,1.697142036,2.532995264,1.434040613
WEN,11.1867,0.0834,3.9526,0.0083,0.1979,9.476310118,0.326997645,2.694824527,1.433711574
DG,7.5058,0.0748,1.7012,0.0066,0.3317,2.513755237,0.335085172,1.32916264,1.43363821
GIS,4.5152,0.1278,4.1894,0.0333,0.2648,2.702034436,0.621538002,1.734823315,1.431011318
