Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
M,0.8317,-0.1764,0.9128,0.2682,-0.8499,6.579173838209983,34.20472972754002,1.5327191533795677
MAR,37.9611,0.1199,4.5984,0.0272,0.7976,0.2,1,1.1044561841331464
MAT,50.7372,-0.0582,3.23,0.0,-0.9819,56.95468263917909,1,5.837568880871873
MCD,0.0,0.2495,3.7885,0.023,0.0,-4.958533672897888,(80.39876091804675+0.07558095713376943j),(1.4764993365913819+0.001693189733326258j)
MOV,0.6787,-0.2439,1.16,0.0748,-0.3079,0.8189503600761098,32.205955685089826,1.0719593824977187
EDU,9.9013,0.1155,1.0405,0.0,0.1316,1.3988940088793929,238.42850550519677,16.376140751722154
NKE,22.2914,0.0721,1.9343,0.0075,0.292,2.6055941023417173,116.965899876365,3.302364655839212
NCLH,1.1566,-0.4346,0.9247,0.0,-0.3861,3.041493650601507,6.931675565666254,0.980902884253941
PZZA,0.0,0.0161,4.0784,0.0113,0.0,-2.5720514221060435,(300.360502826046+0.1105386870593753j),(39.93067500296865+0.0654770874579859j)
PLNT,0.0,0.0718,1.69,0.0,0.0,0.2,1,0.8608613395312473
RLH,0.4127,-0.2742,-1.33,0.0,-0.1711,0.18193885023800804,1,0.7495875932370659
REV,0.0,-0.1715,0.0,0.0,0.0,-2.936906683887633,1,0.5268266651011241
RBA,7.7141,0.1189,2.83,0.0135,0.1756,0.2,1,0.9215917778374766
SIRI,0.0,0.1298,1.478,0.01,0.0,-19.660179640718564,(5.7477552241640995+0.0015542508095660239j),(-0.8994919604945919+1.145823898693727e-05j)
