Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
TVTY,19.6966,-0.4068,0.662,0.0,-1.6887,34.9720580048249,15.074719204383294,3.675560447080174
UNH,4.8158,0.069,1.443,0.0153,0.2762,1.8960376378578194,168.4316009687288,6.202186646230974
ZGNX,2.5251,0.0,-0.42,0.0,-0.9776,0.37015078626559017,1,0.637643947169858
APD,5.6951,0.2158,2.1225,0.0178,0.1658,1.0942938255298345,95.99740208961948,2.4516037185051864
AKS,3.2423,0.0,0.28,0.0,0.0,27.15049504950495,32.23501021401889,3.5701360340759094
ACH,0.4356,0.001,0.0,0.0,0.0078,2.7068263501653753,556.378070750244,1800.0688870018755
ASH,1.493,-0.0439,-1.36,0.0149,-0.149,1.3186193162960504,0.8671840239905406,0.9018442311103174
BECN,1.47,-0.018,1.65,0.0,-0.058,3.0792828973423165,1,1.0943343699534605
CHNR,0.0,0.0022,0.0,0.0,0.0,-1.1591318624114044,1,0.7200243761444177
CLW,1.4249,0.0131,4.05,0.0,0.0533,2.91142735768904,-26.664004141067107,0.9609296183449924
EMN,1.9368,0.0664,5.5167,0.0306,0.097,1.6400930078060123,73.94794997905159,1.9350570729326875
FMC,4.9592,0.1035,1.4186,0.0163,0.1952,2.5309333144355466,26.619922121314943,1.3432218075457996
FCX,2.7945,-0.0492,0.2,0.0348,-0.0353,2.5770605316059862,125.89383313298273,3.5509833571120217
FFHL,0.3951,0.1227,0.0,0.0,0.1899,0.9765864816373732,14.101254117401119,1.0789768922499232
ROCK,3.3211,0.0716,1.02,0.0,0.1168,0.42455238642703774,64.36858567441062,1.6328203280527556
IOSP,1.8325,0.0396,-2.95,0.0155,0.062,0.4678603202846975,11.128265899708195,0.9598121909476991
KALU,1.3186,0.0269,2.24,0.0427,0.0509,1.5715080690038954,90.33637161059605,2.280731172040972
NP,1.8642,-0.0044,1.85,0.0465,-0.0097,1.6603351955307262,41.09682887508932,1.3628107707815966
NTIC,1.3811,0.0246,0.0,0.0371,0.0284,0.08443779853137352,99.40884774796815,2.3854697520048065
