Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
RIO,1.9735,0.1721,0,0.0615,0.1704,1.155032633,123.0785272,3.389434883
RGLD,3.5077,0.4027,1.41,0.0092,0.0878,0.204279785,-27.78170847,0.784282689
SSRM,3.4787,0.0995,0,0,0.0494,0.413246719,22.45033609,1.068678092
X,0.5198,-0.1614,1.68,0.0048,-0.4349,2.459773293,-0.245395225,0.917676856
AAL,0,-0.104,0.6272,0.0303,0,-21.3673083,(-3.7590115067896077+0.046131621568610656j),(-1.1621112823309232+0.00029520540524756054j)
ARCB,1.1749,0.0101,3,0.0091,0.0376,1.329418094,55.50288997,1.54407938
ASGN,2.4958,0.0479,2.02,0,0.1382,1.103836387,48.30216844,1.444968377
BA,0,-0.0427,6.5305,0.0553,0,-14.93563041,(164.05950874549112+0.11783023924798783j),(4.252623155868415+0.009172839561701101j)
CEA,0.8269,-0.0836,1.6477,0.0156,-0.129,3.832339766,449.9794201,369.7912309
ZNH,0.8127,-0.0599,0.721,0.0164,-0.1019,3.46534847,278.3533062,29.31915112
CYD,0.5521,0.0298,0,0.0482,0.0758,0.2,401.3181275,179.2732094
DAL,2.3988,-0.1074,8.6841,0.0698,-0.3229,7.315420023,57.33678044,2.039470259
PLOW,4.5648,-0.1834,1.8,0.0304,-0.3757,2.070431623,32.51635655,1.184038705
FCN,2.7648,0.0807,1.61,0,0.1342,0.828748235,65.07960581,1.688891168
GSH,0.2835,-0.034,0.7832,0.0511,-0.0218,0.295587821,31.02509807,1.110148205
HTLD,2.2838,0.1023,2.23,0.004,0.0969,0.324336941,-2.30596773,0.881703047
JBLU,0.8478,-0.0405,6.8,0,-0.0546,2.1358085,18.77412467,1.159024578
KSU,3.9335,0.2064,2.647,0.0086,0.1154,1.253953173,52.71441896,1.54986046
LMT,28.9595,0.1025,1.8382,0.0269,1.9303,12.21460944,190.7973851,9.755865449
NCI,0,0,1.13,0.15,0,0.387677581,1,0.883781777
PCAR,3.1843,0.0795,2.08,0.0143,0.1696,1.700924638,29.29382782,1.284905897
SKYW,0.7376,0.0651,1.02,0.0206,0.0802,2.049429248,-53.30503188,0.791816571
SNA,2.4742,0.1521,2.3711,0.0275,0.1737,0.747096108,112.934976,2.953628962
LUV,2.1544,0.0098,14.4894,0.0213,0.0157,1.961849605,51.08646791,1.567040281
SAVE,0.7199,-0.0026,20.44,0,-0.0034,1.77329267,-28.4974044,0.883144951
MIDD,2.9338,0.1075,1.1643,0,0.153,1.791778056,79.23860495,2.065609881
TWI,1.1256,-0.0584,-1.21,0.0058,-0.2861,4.730699709,1,1.177973602
VRSK,13.9678,0.1912,3.04,0.0058,0.2352,2.220394283,80.45232592,2.182293322
WNC,1.8516,-0.0334,1,0.0228,-0.1407,1.904922727,22.75680161,1.144145595
ZTO,4.3307,0.2433,23.96,0.0104,0.1481,0.246869861,6.558884721,1.043994614
ADBE,20.5665,0.3105,2.3244,0,0.3518,0.913600273,174.2434764,6.694879281
BABA,6.8292,0.32,1.4853,0,0.2151,0.554610283,638.7386946,6133.753861
GOOG,4.971,0.1899,1.7289,0,0.1579,0.34328243,1371.435761,335226924.2
AAPL,27.6761,0.2133,2.888,0.007,0.6925,3.390359979,53.81615076,1.918618938
ANET,5.6988,0.3316,2.0932,0,0.2707,0.427918747,88.95532031,2.244490501
BIDU,1.7811,0.034,2.3063,0,-0.0109,0.813602903,1795.826428,1.8598E+11
BNFT,0,-0.1371,-5.06,0,-9.2528,-6.67788005,1,-1.923307874
CTSH,3.6032,0.0967,2.5582,0.0121,0.1505,0.66022603,47.63277315,1.411232263
DXC,1.1063,-0.299,0.28,0.0507,-0.7086,5.073154801,42.12885479,1.469211182
FB,6.8211,0.313,0.9606,0,0.2361,0.264778582,152.2827009,4.895047449
MANH,41.7771,0.1416,3.5049,0,0.5568,1.30372174,54.05915683,1.707527229
MSFT,13.8049,0.3096,2.5504,0.0104,0.4014,1.54692149,77.61686226,2.117211989
NTES,4.7975,0.3638,68.15,0.0131,0.2046,0.666528287,128.6111265,3.892178264
NXPI,4.4593,-0.0014,1.7091,0.0111,0.0022,1.354321824,2377.23192,1.06871E+15
ORCL,19.399,0.2613,1.5568,0.0157,0.703,10.89516384,57.91650923,2.663775616
SINA,1.0819,-0.0467,-1.96,0,0.0166,1.503707086,14.16033528,1.052562515
WORK,20.8195,-0.4273,1,0,-0.4014,1.570828223,1,0.822537157
SOHU,2.6664,-0.0771,-0.64,0,-0.0359,5.602074436,1,1.312815196
NCTY,0,0,0,0,0,-1.684521586,1,0.671861674
TWTR,4.7521,-0.3706,3.64,0,-0.1539,0.638482226,8.436438845,0.849162178
UTSI,0.4013,-0.0596,0,0,-0.0389,0.525416381,-29.77979287,0.683844032
ZNGA,5.7667,-0.0172,1.28,0,-0.016,1.121605798,45.52539217,1.362955982
AEP,2.2274,0.1254,2.824,0.0312,0.0954,2.868628607,-26.96238947,0.987221495
AWK,4.4529,0.1729,4.4467,0.0141,0.1032,2.420795204,-11.0922436,1.042328063
T,1.1472,0.0684,7.1438,0.0734,0.068,2.015082776,28.55148212,1.30119365
CHL,0.7998,0.1425,3.9262,0.0609,0.0963,0.531006441,107.9026211,2.745707562
CHA,0.4663,0.0542,1.2081,0.0532,0.0586,0.991642635,174.7963175,6.622978146
CHU,0.4235,0.0406,1.6292,0.0317,0.0378,0.764112522,38.04926101,1.259187802
D,2.6031,0.0324,30.7148,0.046,0.0211,2.523085449,-8.226901949,1.111988258
FE,2.3694,0.0621,3.112,0.05,0.0748,4.936301274,5.505592681,1.35162063
GOGO,0,-0.307,-0.43,0,0,-2.871323704,1,0.506987981
GTT,1.4914,-0.0951,2.8411,0,-0.5814,23.08028455,1,2.782959541
HNP,0.3275,0.0212,0.7532,0.0496,0.0381,2.454165457,506.8552451,861.4529459
MSEX,3.3696,0.2659,10.95,0.0159,0.1217,1.834551075,-6.624298729,1.054935745
NFG,1.715,0.0445,2.05,0.0424,0.0316,2.198311931,1.027668219,1.053276104
