Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
ANF,1.2673,-0.0461,-24.52,0.069,-0.1601,3.1068537051264706,17.71973877840149,1.1445984408271632
ATV,0.6454,0.2595,0.0,0.0679,0.1589,0.2,1,0.9363220553113251
AMZN,21.6758,0.041,1.2,0.0,0.2079,1.9231228298611112,9040.19690982425,1.2938158865743867e+58
AEO,2.5735,-0.0486,38.27,0.009,-0.1665,0.2,1,0.9264862574566284
APTV,3.8143,0.1363,3.0826,0.0176,0.3122,1.1745894554883318,34.206798654030806,1.3369798092222371
AVP,0.0,0.0,0.16,0.0029,0.0,0.2,1,0.8440118147978896
BNED,0.3449,-0.0304,1.1,0.0,-0.133,2.655322098002031,1,1.033952392132022
BBBY,1.5935,-0.0191,-0.5,0.1794,-0.1046,0.2,1,0.8404994358084228
BBY,7.9876,0.0375,2.0015,0.0189,0.4613,3.608787718369508,74.3316816980944,2.1936543288190804
