Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
SWBI,2.1476,-0.0129,1,0.012,-0.0244,0.5058835642295768,1,0.8694257140016057
SBUX,0.0,0.0556,3.0538,0.02,0.0,-4.380265843926881,(116.15666011997511+0.04465545242772398j),(2.5491057133951123+0.0017036480461297234j)
SFIX,8.185,-0.0392,1,0.0,-0.1684,0.9185985333024135,1,0.8735500372266781
TLRD,0.0,-0.1471,0.72,1.8711,0.0,-7.6091720081940135,(23.89114757017775+0.08753923497507252j),(0.5509801416845305+0.0008455033630277201j)
TAL,18.4015,-0.0035,1.84,0.0,-0.0112,1.5347700133810958,12980.68166232142,3.901336146654816e+83
TGT,6.5158,0.0416,2.1449,0.0166,0.2878,2.816186993162665,106.9932140377411,2.9424924235845777
TSLA,41.1118,0.0143,0.9874,0.0,0.0518,2.7147640791476406,-4.026295423952705e+16,0.6734463968883422
TXRH,5.5778,0.0246,3.0265,0.0321,0.0744,1.4374825033034915,56.612352359941426,1.5895320059139832
TCS,1.6371,0.0022,1.71,0.0,0.0073,3.221803596547922,-514.286099357009,0.6649747477334176
EL,20.581,0.0478,3.3303,0.0085,0.1663,3.5186785260482845,385.285502600812,141.64111290601335
DIS,2.6302,-0.0158,13.424,0.0,-0.0087,1.4182912910814525,43.77430632368228,1.4013222066536588
WEN,10.9994,0.0834,3.8864,0.0082,0.1979,9.476310118330602,7.904609911712328,1.8189614821894133
TIF,4.4969,0.0672,4.3953,0.0196,0.0772,1.1454096001001315,67.01215459556192,1.749319618765327
TJX,14.971,0.0211,3.2242,0.0169,0.1428,4.700677749862732,95.11397042230291,2.7262784876459105
TM,0.9479,0.0577,8.1324,0.0307,0.0762,1.6994653839227998,1238.3245349124963,46199373.43170441
UBER,6.8527,-0.51,1,0.0,-0.5273,1.8849214659685865,1,0.7929305961602048
ULTA,7.4285,0.0441,3.7145,0.0,0.1562,0.2,1,0.9039429548551879
UAA,4.0071,-0.1521,3.058,0.0,-0.395,2.5150286564555357,7.904284838945693,0.9982850488762918
URBN,1.7083,-0.0081,2.7119,0.0,-0.0213,1.536128944841266,23.86449617161705,1.1544532868715802
VRA,0.812,0.0092,1.31,0.0,0.0145,0.2,1,0.8524657429768976
VFC,10.479,0.0362,11.4337,0.0247,0.081,3.2845064784086233,33.88316675773005,1.4862183229459351
WYND,0.0,0.0017,1,0.0363,0.0,-8.188446969696969,1,0.0885820936639118
YUM,0.0,0.1878,2.1754,0.0197,0.0,-1.7919338924518993,(56.39767868528337+0.16489459841095871j),(1.2960902847561264+0.0025840880759568164j)
CPB,5.7164,0.1873,1.0852,0.0289,0.3217,3.827155676941085,63.000857432301075,1.9922479870535543
CASY,3.8647,0.0393,2.562,0.007,0.1843,1.3406258886570528,10.533291358474306,1.0778274640665557
KO,12.3969,0.2677,4.2181,0.0323,0.4664,4.318233813772592,18.141225493666255,1.5344021897307738
CL,251.9093,0.1613,4.0681,0.0221,7.5679,53.764925373134325,35.21586040190031,8.80670839227192
CTVA,1.0189,0.0368,1.2831,0.0156,0.0188,0.7075851960425064,-55.29163982067847,0.6450373146028532
CVS,1.1428,0.0314,0.99,0.0337,0.1273,2.4571462174002527,65.7612174191703,1.8400080020793832
GIS,4.479,0.1278,4.1558,0.033,0.2648,2.702034436207754,38.27386680445501,1.516484396821339
JJSF,3.1195,0.0349,5.25,0.0173,0.0466,0.23397483345669876,62.145821709418364,1.568301721770656
K,7.868,0.0809,2.1199,0.0346,0.3336,5.091637630662021,37.98253874751693,1.7351299223113446
KDP,1.7956,0.1032,2.2348,0.0205,0.0508,1.1387252977358984,17.284467839161223,1.0959814903141087
MKC,6.6528,0.1375,1.9981,0.0126,0.2047,1.7616395860350396,89.2253436713203,2.3247042607991064
MCK,4.5056,0.004,26.752,0.0111,0.1377,8.992287917737789,210.67879886321109,11.769315424102054
TAP,0.6017,-0.0162,25.9491,0.0556,-0.011,1.1821055303047783,51.224029608410305,1.5286557749023935
MNST,10.1131,0.2657,2.5526,0.0,0.2764,0.16566158321370875,24.918264471011216,1.1651822504611793
FIZZ,7.0619,0.1423,2.0058,0.0587,0.335,0.39832003772546865,34.198184032892094,1.278294223627275
PEP,14.1896,0.1027,3.6908,0.0295,0.51,5.818141363198102,60.64651723918114,2.1764467255163087
PG,7.7989,0.1836,4.876,0.0221,0.2774,1.5945272027686421,55.1317768849474,1.66183649852977
RAD,0.9222,-0.0151,0.87,0.0,-0.4823,14.952890199290923,1,2.0752037930289005
SFM,3.3783,0.0356,1.018,0.0,0.34,2.986655042467344,12.374259188330159,1.2712799378328092
SYY,29.8703,0.0041,2.0245,0.0265,0.1155,18.5304782528765,855.6454902051923,154961.26004491153
HSY,17.2755,0.135,4.4333,0.0221,0.62,4.08015602145295,85.87378114715864,2.5648318672889685
TR,2.832,0.1269,0.0,0.0113,0.0853,0.295120434542285,138.2946363183375,3.9999033674391273
THS,1.2624,-0.0451,1.9254,0.0,-0.0428,1.9062482674502412,1,0.9867925443712738
TSN,1.4462,0.0426,1.2886,0.029,0.1254,1.3120848151378917,67.21224716836049,1.764398157164579
UL,8.9933,0.1145,2.8949,0.0297,0.4022,3.5001598567683354,27.164099275469475,1.4957071158965975
UNFI,0.8173,-0.0103,3.74,0.0,-0.192,0.2,1,0.8087556031941324
WDFC,18.6824,0.123,2.35,0.0135,0.3326,1.6620431360918178,89.02038200109688,2.3503027799877145
PEP,14.1896,0.1027,3.6908,0.0295,0.51,5.818141363198102,60.64651723918114,2.1764467255163087
